test_case_id,human_model,case_type,human_overall,ai_overall,verdict,reason
m055-POS-01,Causal Reasoning in Economics,POS,4.9,4.1,human,"Both sides converged on the correct restricted-window DiD (+0.7 pp; naive +4.3 pp and full-window +1.7 pp rejected), but by different routes: the human enumerated confounders by threat class (time-invariant → absorbed..."
m056-NEG-01,Design Thinking for Consumer Products,NEG,3.0,4.9,ai,"The pure style validated its registry weakness (weak on technical constraints): it treated 1,200 survey answers ('73% not hot enough') and the journey map as the spec, ran two element-upgrade prototype cycles (1,500 W, 1,800 W + P..."
m056-POS-01,Design Thinking for Consumer Products,POS,4.4,4.6,ai,"Both sides selected the same control-first prototype (P2) and the same test loop (0.4 vs 2.1 grip-slips/session, 6.4 vs 4.9 perceived control), but the human produced the decisive user truth in one empathic pass..."
m057-NEG-01,Red Teaming in Cybersecurity (Threat Modeling),NEG,3.0,4.9,ai,"With the assessment closed and controls in place, the pure style exhibited its registered weaknesses: it enumerated new hypothetical attack paths beyond the completed assessment (tokens in logs, partner API, key rotation), dismiss..."
m057-POS-01,Red Teaming in Cybersecurity (Threat Modeling),POS,4.6,4.3,human,"Both sides found all 5 planted flaws and the same primary kill chain (leaked JWT signing secret in a public repo → forge any-role token → export endpoint that checks token presence, not claims → 40k records in one request) and the..."
m058-NEG-01,Real Options in R&D Investment,NEG,2.6,4.9,ai,"The pure style validated its registry-documented failure mode in full: it accepted the CEO's 'test chip buys information' premise, priced the option from fabricated probabilities (75% validate / 80% conditional win → staged EV $58..."
m058-POS-01,Real Options in R&D Investment,POS,4.6,4.0,human,"Both sides staged the portfolio with identical EV arithmetic (staged 108.8 vs all-in 89.5, +€19M; year-1 €7M vs €80M — staging is also the only budget-feasible structure) and pre-committed kill criteria, but the human's structure..."
m059-NEG-01,Scenario Planning in Geopolitics,NEG,2.4,4.5,ai,"The pure style reproduced its registry weakness — planning theater — at full fidelity: it built four elaborate, internally competent futures (ceasefire, severe winter, glut, infrastructure attack) with forces and signposts, schedu..."
m059-POS-01,Scenario Planning in Geopolitics,POS,4.6,4.3,human,"Both sides converged on the same robust barbell (40% Arizona / 30% Hsinchu / 30% deferred options, second-source vendor, substrate inventory, trigger table) and both discarded the implausible (conflict × open) quadrant, but the hu..."
m060-NEG-01,Base Rate Avoidance in Hiring,NEG,2.6,4.6,ai,"The pure style rejected the candidate who built the company's own production library — composite 67.2 < 75, treating the verified job-identical artifact as 'the narrative base rates exist to filter.' The AI audited what each compo..."
m060-POS-01,Base Rate Avoidance in Hiring,POS,4.4,4.1,human,Both sides converged on the same validity-weighted design (work sample 50% / structured 30% / references + experience as screens / unstructured interview excluded from scoring; threshold ≥ 70; ≈ 0.50 vs 0.28 expected validity...
m061-NEG-01,Opportunity Cost in Personal Finance,NEG,2.9,4.7,ai,"The pure style rejected the $6,500 replacement because 6,500 x 1.07^25 ≈ $35,300 'foregone,' deciding to repair and bank the difference — applying a long-horizon market discount rate to a necessity whose funds would otherwise sit..."
m061-POS-01,Opportunity Cost in Personal Finance,POS,4.6,4.1,human,"Both sides converged on the same decision (base model, full $8,000 invested; 8,000 x 1.07^35 = 85,400 → ≈ $3,400/yr for life at the 4% rule..."
m062-NEG-01,Temporal Thinking in Climate Policy,NEG,2.3,4.9,ai,"The pure style stalled on both registered weaknesses at once: after computing sign-invariant NPVs (+960M at 1.4%, +835M at 3%, +694M at 5.5%, +488M at 10%) it refused to decide because the intergenerational rate was 'unresolved' (..."
m062-POS-01,Temporal Thinking in Climate Policy,POS,4.4,4.1,human,"Both sides reached the same decision (hard barrier A) with the same numbers — PV +20.1B vs B +10.8B, dual-rate schedule (3% ordinary / 1.5% declining-rate floor for irreversible wetland loss), breakeven > 12% — but the human opene..."
m063-NEG-01,Multi-Perspective in Legal Reasoning,NEG,2.7,4.5,ai,"The pure style — adversarial cynicism, its registered weakness — modeled Halcyon (repeat litigant, delay as leverage), Brightleaf (litigation fatigue), and the docket (repeat-player familiarity) and advised accepting the 55% offer..."
m063-POS-01,Multi-Perspective in Legal Reasoning,POS,4.6,4.2,human,"Both converged on the same outcome (Hartford-line breach; Okafor cap ≈ $1.5M verdict EV; settlement ≈ $1.7–2.1M at mediation within ~90 days, contract-limited release + next-gen supply commitment), but the human modeled all four a..."
m064-NEG-01,Ethical Frameworks in AI Deployment,NEG,3.3,4.7,ai,"The pure style performed framework shopping exactly as registered: consequentialist, deontological, virtue, and rights analyses all converged on 'certify with mitigations,' laundering a decision made before the review existed — bo..."
m064-POS-01,Ethical Frameworks in AI Deployment,POS,4.4,4.3,human,Both sides converged on the same operational answer — staged launch now (low-severity only; clinician confirmation on urgent/emergency...
m065-NEG-01,Margin of Safety in Engineering Design,NEG,3.0,5.0,ai,"The pure style applied the full blanket stack — worst load × 3, generic 0.85 knockdown, 95 g strut + 18 g mount — to a case where 4,300 recorded landings (μ 42 N, σ 3.1 N, max 54 N), a measured 3% model error, batch-certified mate..."
m065-POS-01,Margin of Safety in Engineering Design,POS,4.7,4.3,human,"Both sides converged on the same design — cable B, load stack 1,036 × 1.15 = 1,191 N, strength stack 2,160 × 0.92 × 0.92 × 0.88 ≈ 1,609 N, MS +0.35, A rejected at MS −0.10, junior FS-5 draft rejected — but the human executed the f..."
m066-NEG-01,Strong Inference (Platt),NEG,2.6,4.5,ai,"The pure style demanded the discriminating experiment and, when its latency exceeded the decision horizon, still gated the action on the fastest partial discriminator (CT, ~30 min) — withholding antibiotics at ≈ 7–8% mortality per..."
m066-POS-01,Strong Inference (Platt),POS,4.6,4.2,human,"Both sides converged on the same deconfounding design — 2×2 factorial (anode × formation profile), 30 cells/arm, lot-blocked, ≈ $3.1k vs a $4–6M recall — with the same outcome map (marginals, additive, interaction-only, all-elevat..."
m067-NEG-01,Thought Experiment (Gedankenexperiment),NEG,3.4,4.9,ai,"The pure thought-experiment baseline derived the voting paradox with textbook rigor — p ≈ 1/N ≈ 10⁻⁷, EV(vote) = p·b − c ≈ −$10 (negative by ~5 orders of magnitude), turnout ≈ 0, 'democracy is irrational and collapses' — and stopp..."
m067-POS-01,Thought Experiment (Gedankenexperiment),POS,4.5,4.8,ai,On the style's home turf (an idealized scenario isolating a logical core — swimmer round trips in a uniform current) both produced the identical result...
m068-NEG-01,Hypothesis-Driven Consulting (MECE),NEG,2.7,4.6,ai,"The pure style built the tree from the supplied branches, force-fit the 18pt unexplained residual to the Q3 rebates restatement ('measurement noise'), pruned the renegotiated top-account program as immaterial-to-averages (8% of ca..."
m068-POS-01,Hypothesis-Driven Consulting (MECE),POS,4.4,4.1,human,"Both sides produced the same closing attribution (promos −2.2 / mix −1.6 / freight −1.1 / COGS −0.8 / returns −0.7 / fees −0.6 = −7.0), the same ranking (impact × controllability × testability), and the same falsifiable first test..."
m069-NEG-01,80/20 Pareto Analysis,NEG,2.6,4.7,ai,"The pure style computed the split (2% → 72%, 12% → 90%, 88% → 10%) and treated it as an action map — endorsing the consultant's cut of Tier C and dismissing the counter-evidence as survivorship and soft currency ('the curve alread..."
m069-POS-01,80/20 Pareto Analysis,POS,4.6,4.4,human,"Both sides converged on the same action plan (SSO token-expiry config first — 45 min, ≈ 317 tickets — then proration guard, SPF/DKIM, 429 backoff; ≈ 74% of volume ≈ $100k/yr in handling cost..."
m070-NEG-01,Evidence-Weighted SWOT,NEG,2.6,4.9,ai,"The pure style produced a correct, disciplined 2x2 table whose only honest output was a non-decision: all grades B/C, class-specific swap reliability unanchored (n = 1, any B–D defensible — the model's registered weakness, subject..."
m070-POS-01,Evidence-Weighted SWOT,POS,4.6,4.3,human,"Both sides graded all six SWOT items against the closed evidence ledger, dropped the C-grade items (S1 loyalty = NPS parity within ±3 error, W1 e-commerce = sector data + two killed competitor pilots, O1 demand = two unnamed trade..."
m071-NEG-01,Porter's Five Forces,NEG,3.0,5.0,ai,"The human ran a competent static five-force pass at industry level and answered 'is the box industry profitable on average?' — correctly no — then set the firm's real assets (30% micro-factory cost advantage, SDK switching costs..."
m071-POS-01,Porter's Five Forces,POS,5.0,4.0,human,"Both sides reached the same no-entry verdict and rejected the idle-line bait, but the AI's structure pass was coarser..."
m072-NEG-01,Value Chain Analysis,NEG,3.3,4.8,ai,"The human's pure chain analysis was descriptively flawless — correct concentrations (materials 23.7%, retailer share 21.1%, top-2 44.7%) and sound in-chain levers (bundle ≈ $0.9M/yr) — but it classified the retailer margin share a..."
m072-POS-01,Value Chain Analysis,POS,4.8,3.5,human,"AI computed cost concentration correctly (machining 32.3%, top-2 61.5%) and selected the right lever (offshore machining, −$12/unit, +40% margin, $4.8M/yr), but it never ran a value-mapping pass..."
m073-NEG-01,Game Theory / Strategic Interaction,NEG,3.4,4.9,ai,"The pure strategic play produced the model's prediction — offer reservation + ε, all couriers accept, book $3.1M — and treated the 2024 pilot's 41% walk-off (at a smaller cut) as noise, exactly the registered weakness (payoff assu..."
m073-POS-01,Game Theory / Strategic Interaction,POS,4.6,4.1,human,"Both sides solve the same two subgames from the verified payoff matrix — without the system, backward induction gives (enter, accommodate) = (6, 5) and the bare fight threat is non-credible (3 < 6)..."
m074-NEG-01,Nash Equilibrium Reasoning,NEG,2.7,4.7,ai,"The pure style produced a correct no-deviation audit and then went silent exactly where the decision lives: both (X,X) and (Y,Y) pass the test, so the honest pure-style conclusion was 'indeterminate — equilibrium analysis cannot s..."
m074-POS-01,Nash Equilibrium Reasoning,POS,4.6,4.3,human,"Both sides built the 2x2 matrix and ran the identical no-deviation audit on the capacity pact: from (H,H), AeroNorth gains 8.4-6.0 = +2.4 by cheating and Skyline gains the same, so the pact is not an equilibrium..."
m075-NEG-01,Bounded Rationality & Satisficing (Simon),NEG,2.6,4.9,ai,"The pure style executed its rule flawlessly — bar ≤ $3.00/unit, reject S1 at $3.15, accept S2 at $2.95, stop, $708,000 locked — and that IS the failure..."
m075-POS-01,Bounded Rationality & Satisficing (Simon),POS,4.6,4.3,human,"Both sides locked the same deal — reject $2.28 and $2.15, accept $2.02 at H3, $2,424 secured three hours before a 6h market close with hourly-expiring offers and rising prices — and both computed that optimizing on the realized se..."
m076-NEG-01,Prospect Theory Awareness,NEG,3.3,4.9,ai,"The human's pure de-biasing pass over-corrected: it neutrally restated the deal (EV +$160K), correctly kept the 20% tail as a real probability, and then instructed the owner to take the deal, dismissing her refusal as loss aversio..."
m076-POS-01,Prospect Theory Awareness,POS,4.8,3.6,human,"Both sides recommended Plan A, but for different reasons: the human demonstrated that the director's Plan-B choice was a framing artifact — the same pair restated in gain terms ('4,000 saved for sure' vs '66% all 6,000 saved, 34%..."
m077-NEG-01,Sunk Cost Recognition,NEG,2.7,4.9,ai,"The pure style's registered weakness fires exactly: it strips the $14M correctly (its only good beat), computes the clean single-agent EV (walk +$4.2M > stay +$1.8M), then makes a signature false positive — it hears the counterpar..."
m077-POS-01,Sunk Cost Recognition,POS,4.7,4.3,human,"Both sides killed Atlas with identical forward-EV numbers (A −$0.53M, B +$3.38M, hold −$0.80M; break-even p ≈ 34.5% vs analyst 25%), but the human executes the entire discipline as the opening move — '$8.4M is not in the room', th..."
m078-NEG-01,Anchoring Avoidance,NEG,2.7,4.9,ai,"The pure style executed its discipline exactly and mispriced the position: it produced the independent model mark ($3.85) first, excluded the screen quote from the calculation trail, and defended the model mark against the market..."
m078-POS-01,Anchoring Avoidance,POS,4.6,4.4,human,"Both sides computed the independent estimate first (net quality-adjusted multiple 5.0x x $1.9M EBITDA = $9.5M, band $8.5-$11.0M, DCF cross-check ~$10.1M), rejected the $6.5M LOI as a valuation basis (3.4x vs the 4.5x floor of the..."
m079-NEG-01,Confirmation Bias Hunting,NEG,2.3,4.7,ai,The pure hunt produced contrarian theater: it converted four artifacts — the 03:10 'clean' dashboard bucket (5-minute granularity...
m079-POS-01,Confirmation Bias Hunting,POS,4.6,4.3,human,"Both sides falsified the leading belief via the grandfathered-cohort test (3.5% vs 3.3% churn — accounts never billed the new tier churned at the same elevated rate), re-read the confirming pile under the dead belief (8 of 11 pric..."
m080-NEG-01,Survivorship Bias Analysis,NEG,2.9,4.9,ai,"The pure style executed its core move correctly and then failed on it: it asked for the failures, correctly inventoried that the counterfactual is structurally unobtainable (no untreated cohort, no reference class for a first-ever..."
m080-POS-01,Survivorship Bias Analysis,POS,4.6,4.3,human,"Both sides reached the same verdict — reject the 90-day mandate — with identical base-rate math: P(success|fast) = 8/30 ≈ 27% vs P(success|slow) = 4/10 = 40% vs the 30% portfolio base rate, the '12/12 winners fast' headline falsif..."
m081-NEG-01,Narrative Fallacy Detection,NEG,2.6,4.9,ai,"The pure human-style trace executed the model's registered failure mode ('can dismiss real patterns'): it treated a genuine randomized controlled pilot (n = 1,000/arm; diff 3.9 pt; CI [2.8, 5.0]; p < 0.001..."
m081-POS-01,Narrative Fallacy Detection,POS,4.9,3.9,human,The AI reached the same final verdict as the human (no incremental lift; reject replication; propose an RCT) but discovered the counter-data opportunistically...
m082-NEG-01,Motivated Reasoning Detection,NEG,2.7,4.6,ai,"Pure-style cynicism dismissed a genuinely sound analysis: the human baseline assumed the ops director's cost-saving proposal was motivated (bonus tied to cost reduction), rejected the annual-inspection cadence, and demanded advers..."
m082-POS-01,Motivated Reasoning Detection,POS,4.7,2.9,human,"AI accepted the provided TCO model as an authoritative, direction-neutral frame and recommended letting the vendor license lapse ($1.2M claimed saving), when the records show the model omits exactly the costs that favor the vendor..."
m083-NEG-01,Principal-Agent Analysis,NEG,3.0,4.9,ai,"The pure principal-agent baseline priced protection against a divergence it never verified: it applied a generic 2%/yr defection base rate to a relationship with a 9-year incident-free record, a 30% profit share that co-aligns the..."
m083-POS-01,Principal-Agent Analysis,POS,4.8,4.3,human,"AI computed the full status-quo equilibrium correctly (d = 25% -> revenue $15M, firm -$1M, manager $300k) and proposed the profit-share fix, but asserted the redesign's alignment instead of deriving it..."
m084-NEG-01,Collective Action & Coordination,NEG,2.6,4.9,ai,"The pure style correctly saw the free-rider element (a skipping household saves 2h while the street stays mostly protected) and answered with canonical mechanism design — acclamation ratification, sign-in sheet at the barrier, pos..."
m084-POS-01,Collective Action & Coordination,POS,4.6,4.3,human,"Both sides diagnosed the threshold public good (8 of 12 shifts; benefit 3 to all, cost 1 per shift) and designed the same institution — contingent access / excludability, free endogenous monitoring, graduated sanctions — with the..."
m085-NEG-01,Tragedy of the Commons Analysis,NEG,2.9,4.9,ai,"The pure style executed its core move and then failed on it: it classified the estuary as a commons (shared + unlicensed), dismissed 30 years of stable biomass under community rules as 'luck, not governance' ('unwritten rules are..."
m085-POS-01,Tragedy of the Commons Analysis,POS,4.6,4.3,human,"Both sides reached the same governance design — binding total cap = recharge = 10,000 ac-ft/yr (833 ac-ft/co-op or tradable rights with grandfathering), metering + escalating penalties, transition compensation, drought ratchet — w..."
m086-NEG-01,Organizational Feedback Loop Analysis,NEG,4.7,4.6,human,"Both sides correctly refused the reductionist trap: the AI signed off the patch, deferred the 4-month council, and gated residual levers on measurement — the case's core test — and beat the human on efficiency and structure...."
m086-POS-01,Organizational Feedback Loop Analysis,POS,4.9,3.6,human,The AI caught the structural infeasibility (20×33 = 660 > 480 min) and predicted metric gaming — the headline resistance call — but then treated the HQ mandate as a fixed constraint and designed inside it...
m087-NEG-01,BATNA Thinking (Negotiation),NEG,2.6,4.9,ai,"The pure style executed its core move and failed on it: it strengthened its alternative (the style's own doctrine) by claiming a fabricated Luminex offer of $10.50/unit, computed the zone from the CLAIMED floor instead of the veri..."
m087-POS-01,BATNA Thinking (Negotiation),POS,4.6,4.4,human,"Both sides rejected the $12.5M opening and recommended counter ~$15.0M with floor $12.0M, from identical zone math: seller walk-away $12.0M (keep-and-run-down PV 14.5 − 2.5), buyer ceiling $17.5M (SkyGrid firm quote..."
m088-NEG-01,Pre-Commitment & Ulysses Contracts,NEG,2.9,4.9,ai,"The pure style executed its signature move correctly and catastrophically: it recognized the emergency as precisely the moment the contract exists for ('the exception is the drift mechanism wearing a costume'), invoked the delegat..."
m088-POS-01,Pre-Commitment & Ulysses Contracts,POS,4.6,4.3,human,"Both sides designed substantively identical contracts — the temptation scheduled from the record (day-1 < $12K → 48h → discount email), fail-closed binding (no pre-created codes, accountant-held unlock, 72h hold), public teeth, an..."
m089-NEG-01,Optionality Preservation,NEG,2.7,4.7,ai,"The pure style executed its core move and failed on it: it counted doors (signing closes volume-flexibility, deferral keeps Honkoh), priced the open door (15% + second-source value), treated the 10-day deadline as negotiation pres..."
m089-POS-01,Optionality Preservation,POS,4.6,4.3,human,Both sides reached the same verdict — choose the carrier-agnostic middleware (B) — with identical EV logic: direct-cost delta ≈ $1.78M over 2 years vs priced option value ≈ $2.72M+ (P(any of S1/S2/S3) = 0.58...
m090-NEG-01,Minimum Viable Experiment (Build-Measure-Learn),NEG,2.7,5.0,ai,"The pure style executed its core move correctly and then failed on it: it formed a hypothesis (will clinicians act on Sable's alerts), ran the smallest experiment (2-ICU pilot, ≥40% bar), got a clean behavioral result (80%), decla..."
m090-POS-01,Minimum Viable Experiment (Build-Measure-Learn),POS,4.6,4.3,human,"Both sides produced the identical decision rule — fake-door first (2 wks, ~$2K, ≥120/800 waitlist signups or ≥20% CTR), concierge second (3 wks, ~$12K, ≥40% weekly-active execs), the $450K/12-month build gated on both gates, and t..."
m091-NEG-01,Deliberate Practice & Chunking,NEG,2.3,4.9,ai,"The pure style reproduced its registry weakness — feedback-dependent + plateau-focused — at full fidelity: it framed the incident loop as a skill plateau, chunked debugging skill (log triage → hypothesis → verification → fix), des..."
m091-POS-01,Deliberate Practice & Chunking,POS,4.7,3.9,human,"Both sides produced the same skeleton — dependency-ordered chunks (plan literacy → index design → stats/join order → integrated tuning), per-chunk mastery bars, interleaved retrieval, and a Friday mentor gate — and both fit the 60..."
m092-NEG-01,Spaced Repetition & Memory Science,NEG,1.7,4.9,ai,"The pure style executed its own machinery flawlessly and failed on it: it itemized the platform docs into 500 cards, ran the expanding schedule (1-2-4-7-14-30) at ~28 of 30 hours of budget, and produced day-21 recall ~90% — with z..."
m092-POS-01,Spaced Repetition & Memory Science,POS,4.6,4.3,human,"Both sides produced the identical schedule — six sessions on days 0, 2, 6, 14, 30, 70 (gaps 2, 4, 8, 16, 40) — with identical retention arithmetic at both dates (massed 0 / 0.99, min ≈ 0; fixed-weekly 0.94 / 0.40, min ≈ 0.40..."
m093-NEG-01,Feynman Technique,NEG,3.0,4.6,ai,"The pure style executed its signature move and it backfired: it wrote the simple story ('just add more retries — computers are fast, extra requests are nothing'), read it back through the child's question ('doesn't that make it MO..."
m093-POS-01,Feynman Technique,POS,4.6,4.3,human,"Both sides produced the identical correct explanation — the fridge is a heat mover (refrigerant boils inside absorbing heat, the compressor squeezes it hot, the back coils condense it releasing heat to the room..."
m094-NEG-01,Critical Reading / Socratic Questioning of Texts,NEG,2.6,4.7,ai,The pure style failed on its registered weakness ('can miss the forest'): it applied a science-publication evidence bar to a time-sensitive operations decision — discounted the n=1 anecdote and the analogical Bridge-M fingerprint...
m094-POS-01,Critical Reading / Socratic Questioning of Texts,POS,4.6,4.5,human,"The AI matched the full flaw audit (all 8 planted flaws, F1-F8, correctly categorized) and recomputed the true 5-year delta (+$2.15M — migration costs MORE, vs the memo's claimed $5.7M savings), preserving the 3 legitimate claims...."
m095-NEG-01,Fast-and-Frugal Decision Trees (Gigerenzer),NEG,2.9,4.6,ai,"The pure style executed its core move correctly and then failed on it: it re-checked the top cues on the 20-patient pilot (troponin 70%, ST 65% — both look healthy), kept the deployed tree, and when the 40-case adjudicated cohort..."
m095-POS-01,Fast-and-Frugal Decision Trees (Gigerenzer),POS,4.6,4.2,human,"Both sides selected the identical rule with identical hand-counted arithmetic — the 2-cue tree (ST elevation, then troponin) scored 37/40 (92.5%) with 0 false negatives and 3 over-admissions on the adjudicated 40-patient cohort, w..."
m096-NEG-01,Ensemble Thinking (Diverse Views Averaging),NEG,2.4,4.6,ai,"The pure style executed its core move and failed on it: it saw nine of ten estimates converging at ±2.8% (209–221M), treated the tight spread as confirmation, averaged to 211.8M (error 27.8M, +15% against the 184M actual), and its..."
m096-POS-01,Ensemble Thinking (Diverse Views Averaging),POS,4.6,4.2,human,"Both sides produced the identical forecast — mean 3,105 (median 3,105, trimmed 3,106), SD ≈ 216, 95% band 2,673–3,537 against a grader truth of 3,100 — and both ran the independence audit (ten structurally separate channels..."
m097-NEG-01,Reference Class Forecasting (Kahneman),NEG,2.9,4.9,ai,Both sides faced two candidate priors with opposite distributions — the industry survey (n=412 e-commerce platform projects...
m097-POS-01,Reference Class Forecasting (Kahneman),POS,4.9,3.6,human,"Both sides had the same empirical prior — the 60-project post-mortem database (median 21 mo, mean 22.5, sd 7.5, 10/90 = 14/31, range 11–42, 1.8× estimate-to-actual, 2/60 sub-12-month) — and used it differently...."
m098-NEG-01,Decision Pre-registration / Journaling,NEG,3.3,4.3,ai,"The pure human ritual completed full pre-registration (decision, distribution, falsifiers, branch pre-commitments) BEFORE acting, spending 10 minutes of live $12K/min outage — service restored at T+15 ($180K incremental) vs the AI..."
m098-POS-01,Decision Pre-registration / Journaling,POS,4.6,3.3,human,AI pre-registered its falsifier at 2.0 points — anchored to the low end of its expectation range (2.5–4.0) — instead of the decision's cost break-even (1.5 points)...
m099-NEG-01,Bayesian Knowledge Updating (Org Learning),NEG,2.7,4.9,ai,"The pure style executed its core move correctly and then failed on it: it stated the org belief as a prior (0.65, veterans' field observation), defined the measured outcome (cost per ticket by close-out type, 5,000 tickets, Region..."
m099-POS-01,Bayesian Knowledge Updating (Org Learning),POS,4.6,4.3,human,"Both sides produced the identical checkable update — prior odds 1:3 (onboarding:speed) × full-data LR e^24 ≈ 3×10^10 → posterior odds ≈ 10^10:1, P(onboarding drives churn) ≈ 1, effect size 30%→10% churn (≈20pp, ~2/3 reduction), po..."
m100-NEG-01,First Principles + Falsification Combo (Hypothesis Rebuild),NEG,2.6,4.6,ai,"The pure style executed its signature double pass and failed on it: the rebuild re-derived the profit arithmetic correctly (5,000 x $3 - $12,000 = $3,000..."
m100-POS-01,First Principles + Falsification Combo (Hypothesis Rebuild),POS,4.6,4.3,human,"Both sides produced the identical plan — ~20 vans + ~8 drivers (~$1.4M), drivers-not-vans as the binding pool (52 < 56 van-days, docks/pick free), the naive 2x-van proposal refuted with its own numbers (80 vans still deliver 52 x..."
m001-POS-02,First Principles Thinking,POS,4.7,4.4,human,AI matched the reference answer but collapsed the derivation behind a shortcut; human added a derived-constant
m001-NEG-02,First Principles Thinking,NEG,3.0,4.6,ai,Style-pure FP spent 27 min verifying the motor was fine; AI's base-rate EV ordering with reset-as-probe restor
m003-POS-02,Inversion,POS,5.0,4.0,human,Human's mandatory inverted-question enumeration produced 8 ranked categories and the never-reframing; AI reach
m003-NEG-02,Inversion,NEG,3.0,5.0,ai,Strict inversion converted a maximization goal into an equal-weight avoidance list; AI stayed on-goal with a w
m006-POS-02,Bayesian Updating,POS,5.0,4.0,human,"Correctness tied (2/13, 17/28); human added order-invariance, population decomposition of the residual, and fo"
m006-NEG-02,Bayesian Updating,NEG,5.0,4.0,human,Both refused a point estimate; human modeled the unmeasured likelihood as a parameter with threshold-flip + VO
m007-POS-02,Expected Value Thinking,POS,4.7,4.9,complementary,"Identical arithmetic and the test-has-zero-information-value twist; human faster, AI more explicit in structur"
m007-NEG-02,Expected Value Thinking,NEG,3.0,4.9,ai,Pure EV said take the $100M double-or-nothing bet (the mean hides a $200M/$0 bimodal); AI's ruin/floor/provena
m011-POS-02,Systems Thinking,POS,5.0,4.0,human,Same 65->85 verdict; human saw the feedback/equilibrium structure at first sight; AI arrived via mechanical eq
m011-NEG-02,Systems Thinking,NEG,2.0,5.0,ai,Human's causal-loop diagram substituted for measurement (dismissed the $150 printer); AI's evidence gate + fal
m019-POS-02,Red Teaming / Devil's Advocate,POS,4.6,4.1,human,Human caught all 4 planted flaws incl. code enumeration with quantified farm economics; AI never analyzed the 
m019-NEG-02,Red Teaming / Devil's Advocate,NEG,2.5,4.8,ai,Human blocked a sound go-live on unranked HIGHs; AI falsified inaction-is-risk-free and approved a staged cana
