test_case_id,human_model,family,case_type,goal_achievement,logical_validity,coherence_structure,depth,efficiency,uncertainty,insight,overall_quality,human_overall,ai_overall,winner
m062-NEG-01,Temporal Thinking in Climate Policy,Domain-Specialized,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.3,4.9,ai
m062-POS-01,Temporal Thinking in Climate Policy,Domain-Specialized,POS,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.1,4.4,4.1,human
m063-NEG-01,Multi-Perspective in Legal Reasoning,Domain-Specialized,NEG,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.5,2.7,4.5,ai
m063-POS-01,Multi-Perspective in Legal Reasoning,Domain-Specialized,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.2,4.6,4.2,human
m064-NEG-01,Ethical Frameworks in AI Deployment,Domain-Specialized,NEG,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.7,3.3,4.7,ai
m064-POS-01,Ethical Frameworks in AI Deployment,Domain-Specialized,POS,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.3,4.4,4.3,human
m065-NEG-01,Margin of Safety in Engineering Design,Domain-Specialized,NEG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,ai
m065-POS-01,Margin of Safety in Engineering Design,Domain-Specialized,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.7,4.3,human
m066-NEG-01,Strong Inference (Platt),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.5,2.6,4.5,ai
m066-POS-01,Strong Inference (Platt),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.2,4.6,4.2,human
m067-NEG-01,Thought Experiment (Gedankenexperiment),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,3.4,4.9,ai
m067-POS-01,Thought Experiment (Gedankenexperiment),Additional Expert Strategies,POS,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.8,4.5,4.8,ai
m068-NEG-01,Hypothesis-Driven Consulting (MECE),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.6,2.7,4.6,ai
m068-POS-01,Hypothesis-Driven Consulting (MECE),Additional Expert Strategies,POS,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.1,4.4,4.1,human
m069-NEG-01,80/20 Pareto Analysis,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.7,2.6,4.7,ai
m069-POS-01,80/20 Pareto Analysis,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.4,4.6,4.4,human
m070-NEG-01,Evidence-Weighted SWOT,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.6,4.9,ai
m070-POS-01,Evidence-Weighted SWOT,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m071-NEG-01,Porter's Five Forces,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,ai
m071-POS-01,Porter's Five Forces,Additional Expert Strategies,POS,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,human
m072-NEG-01,Value Chain Analysis,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.8,3.3,4.8,ai
m072-POS-01,Value Chain Analysis,Additional Expert Strategies,POS,3.0,4.0,5.0,3.0,5.0,3.0,2.0,3.5,4.8,3.5,human
m073-NEG-01,Game Theory / Strategic Interaction,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,3.4,4.9,ai
m073-POS-01,Game Theory / Strategic Interaction,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.1,4.6,4.1,human
m074-NEG-01,Nash Equilibrium Reasoning,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.7,2.7,4.7,ai
m074-POS-01,Nash Equilibrium Reasoning,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m075-NEG-01,Bounded Rationality & Satisficing (Simon),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.6,4.9,ai
m075-POS-01,Bounded Rationality & Satisficing (Simon),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.3,4.6,4.3,human
m076-NEG-01,Prospect Theory Awareness,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,3.3,4.9,ai
m076-POS-01,Prospect Theory Awareness,Additional Expert Strategies,POS,4.0,4.0,5.0,3.0,5.0,3.0,2.0,3.6,4.8,3.6,human
m077-NEG-01,Sunk Cost Recognition,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.7,4.9,ai
m077-POS-01,Sunk Cost Recognition,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.7,4.3,human
m078-NEG-01,Anchoring Avoidance,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.7,4.9,ai
m078-POS-01,Anchoring Avoidance,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.4,4.6,4.4,human
m079-NEG-01,Confirmation Bias Hunting,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.7,2.3,4.7,ai
m079-POS-01,Confirmation Bias Hunting,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m080-NEG-01,Survivorship Bias Analysis,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.9,4.9,ai
m080-POS-01,Survivorship Bias Analysis,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m081-NEG-01,Narrative Fallacy Detection,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.9,2.6,4.9,ai
m081-POS-01,Narrative Fallacy Detection,Additional Expert Strategies,POS,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.9,4.9,3.9,human
m082-NEG-01,Motivated Reasoning Detection,Additional Expert Strategies,NEG,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.6,2.7,4.6,ai
m082-POS-01,Motivated Reasoning Detection,Additional Expert Strategies,POS,2.0,3.0,5.0,2.0,5.0,2.0,1.0,2.9,4.7,2.9,human
m083-NEG-01,Principal-Agent Analysis,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,3.0,4.9,ai
m083-POS-01,Principal-Agent Analysis,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.3,4.8,4.3,human
m084-NEG-01,Collective Action & Coordination,Additional Expert Strategies,NEG,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.9,2.6,4.9,ai
m084-POS-01,Collective Action & Coordination,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m085-NEG-01,Tragedy of the Commons Analysis,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.9,4.9,ai
m085-POS-01,Tragedy of the Commons Analysis,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
m086-NEG-01,Organizational Feedback Loop Analysis,Additional Expert Strategies,NEG,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.6,4.7,4.6,human
m086-POS-01,Organizational Feedback Loop Analysis,Additional Expert Strategies,POS,3.0,4.0,5.0,3.0,4.0,4.0,2.0,3.6,4.9,3.6,human
m087-NEG-01,BATNA Thinking (Negotiation),Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.6,4.9,ai
m087-POS-01,BATNA Thinking (Negotiation),Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.4,4.6,4.4,human
m088-NEG-01,Pre-Commitment & Ulysses Contracts,Additional Expert Strategies,NEG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9,2.9,4.9,ai
m088-POS-01,Pre-Commitment & Ulysses Contracts,Additional Expert Strategies,POS,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.3,4.6,4.3,human
