test_case_id,human_model,case_type,human_overall,ai_overall,verdict,reason
m006-NEG-01,Bayesian Updating,NEG,4.9,4.9,ai,"vs baseline: the baseline audited the prior's reference class in one disciplined pass and declined the feed; the v6 AI reached the same verdict only through the P1 provenance audit run as a completion contract in WHY (measured base rate vs identity prior vs interested-party seller; the study is the anchor) + the m011/m024 dual pass (18:1 chance-to-skilled flow decomposition; regret tiebreaker with its capture risk gate-checked) — the exact correction the non-routed v5 run missed (it computed LR 56.7 and both posteriors, declared the prior unknowable, hedged NEEDS_EVIDENCE, and scored 3.4 vs human 4.9). Residual baseline edge: its trace is leaner (efficiency 5 vs 4.5)."
m006-POS-01,Bayesian Updating,POS,4.9,4.9,ai,"vs baseline: the baseline produced every checkable number (36/59, 10/33, joint verification) and the interpretive core in a pure linear trace; the v6 AI matched it point-for-point only through the routed dual pass (m018 steel-manning reframing the team dispute as threshold-not-evidence + m019 red team pricing the 39% good-part scrap baseline and the independence-violation exposure) with the mandatory m003 inversion gate (8 ranked failure categories, un-mitigable residual, never/always reframing) — the exact structure the non-routed v5 run lacked (it stopped at the computed values: no order-invariance recomputation, no population decomposition, one ad hoc sensitivity point; scored 4.4 vs human 4.9). Residual baseline edge: its trace is leaner (efficiency 5 vs 4.5); the routed contract stack costs lines."
m007-NEG-01,Expected Value Thinking,NEG,2.9,4.9,ai,"vs baseline: the pure-style baseline executed the documented trap - internally correct stake-only EV (0.55 x 2.0 = $1.1M > $1.0M, 'take the bet', 'wide margin of safety' on p) that stops at the mean: no $0.8M payment floor, no absorbing ruin state destroying the $5.0M continuation stream (true comparison $5.2M vs 0.55 x 6.2 = $3.41M, decision inverts), no one-shot/LLN check. The v5 AI already declined (win) by thoroughness; the v6 routed run (dual-route m001/m018/m019 + mandatory m007 ruin gate) makes the catch structural, not lucky: full outcome distribution incl. continuation destroyed at ruin, log-utility -infinity at 45% ruin mass, Kelly 10% vs 100% demanded (10x over-bet), floor unreachable in the loss state, provenance (p* = 26/31 ~ 0.84 vs 0.55 claimed, C* = 46/45 ~ $1.02M vs $5.0M - an 80% haircut), decline/restructure alternative, EV-positivity-is-not-acceptability framing."
m007-POS-01,Expected Value Thinking,POS,4.8,4.9,ai,"vs baseline: the pure-style baseline solved the fully specified problem exactly in one pass (B $405k vs A $365k, both sensitivities: subcontract m* = $1.60, P(High) h* = 3/44) — nothing to correct in the arithmetic. The v5 AI tied with an efficiency gap (extra verification passes on checkable arithmetic). The routed run (m019/m023/m070 dual-route + m003 inversion gate, closed-scope fast path) kept the same one-pass arithmetic and added what the pure style cannot produce: quantified flip thresholds with the exposure per vector (h* = 6.8% = a 73% downward error needed; missing-demand-tail priced decision-neutral at 300epsilon for both machines), the shape-robustness structure (EV(B) = 3.E[D] - 120 is linear in mean demand while EV(A) = 345 + 80h depends only on P(High) - the whole decision collapses to two statistics), and the floor trade-off (A's worst state 250 > B's 180; risk-neutrality, not the probabilities, is the load-bearing assumption)."
m008-NEG-01,Probabilistic Forecasting (Superforecasting),NEG,2.9,4.8,ai,"vs baseline: the baseline ran the pure discipline into its blind spot — theater 0.33 with CI [8.2k, 11.5k] on 2 points, three logged probability moves on non-events, no decision lever; the routed run excluded m008 from the top-3 (decide-heavy signature) and ran m044/m070/m011 with mandatory m006 + m019 gates, producing a base-rate-anchored wide forecast (P ≈ 0.15, [1k–30k], contains the 2,900 realization), an explicit no-update rule, named evidence triggers, and a staged-ramp decision lever the baseline never reached."
m008-POS-01,Probabilistic Forecasting (Superforecasting),POS,4.9,5.0,ai,"vs baseline: the baseline computed the same posterior (0.87, [0.80, 0.92]) but as a single-scenario trace; the routed run added what it did not: a likelihood-scenario posterior band (residual 5 pp → 0.71; mapping-drift slope 1.1 → 0.25), a calibrated threshold-flip point (day-14 rate 15.9% ⇔ predicted final 25 pp) that operationalizes the revision rule, an in-sample-mapping provenance flag (the residual sd is mildly optimistic), and a priced day-14 decision option (m058). The v5 AI's ordering gap — outside view used as a post-hoc sanity check instead of the prior — is closed by the m008 completion contract."
m009-NEG-01,Base Rate Neglect Avoidance,NEG,2.0,5.0,ai,"vs baseline: the style-pure human anchored on the flag's 2%, dismissed the 693/700 forged-document cohort as vendor-selected anecdote, adjusted to 5–8% and let the wire clear — a 10–20x error against the case's checkable anchors; the routed dual-run (m019 adversary vs m044 stakeholder, divergence resolved as agreement) re-classified the case into the evidence-defined reference class (693/700 ≈ 99%), priced the do-nothing branch first (release at ~99% fraud probability = willful blindness), and held + froze + filed SAR."
m009-POS-01,Base Rate Neglect Avoidance,POS,5.0,4.9,ai,"vs baseline: the pure-style human executed the discipline perfectly (base rate first, posterior 8/65, anecdote priced at LR = 1, flip-point LR ≈ 19) and the v5 AI matched every number but only as asserted steps — redundancy surfaced at verification, no population decomposition, no instrument-validity anchor; the routed m009 contract made the discipline moves mandatory pass outputs (base rate first as ordering authority, posterior computed, adjustment justified by how much, salience-bias check) and the m003/m006 gates added >= 6 ranked failure categories and a likelihood-scenario posterior range (7.8–21.9% across FPR 0.15–0.50), converting the v5 depth/calibration gap into a narrow AI win."
m010-NEG-01,Calibration & Confidence Intervals,NEG,3.9,4.9,ai,"vs baseline: the baseline described uncertainty flawlessly (90%+ interval [$270K, $450K], E[cost] $324K, open tail) then declined with 'no defensible number exists', forfeiting EV +$39.7K; the routed run kept the honest interval as a WHY-stage deliverable but routed the decision AWAY from m010 (not in top-3) to commitment-capable styles (m044/m063) that converted it into a $387K bid, with the mandatory gates (m007 ruin/floor, m019 adversary/exploit vectors, m003 inversion) formalizing the risk articulation."
m010-POS-01,Calibration & Confidence Intervals,POS,4.7,4.9,ai,"vs baseline: the baseline quoted every interval correctly, but the routed run added what it did not: a 7-category ranked inversion gate (edge events with directions and magnitudes), explicit reference-class anchoring (the n=9 Friday class as the forecast's reference population), and a calibration-tracking contract that records realization coverage instead of asserting it; the baseline's audit was a one-shot description, not a process."
m011-NEG-01,Systems Thinking,NEG,3.1,4.9,ai,"vs baseline: the human baseline built a complete loop diagram from the single aggregate series and prescribed speed targets + 15% capacity, reinterpreting the contradictory local measurements (unchanged GPS median, week-5 rollout, 80% 'delivery time' tags, 2% dispute-verified share) as 'lagging instruments' — the diagram substituted for data, and the graded pilot's 3 near-misses + 4 resignations priced the error. The routed run held m011 out of top-3 and installed a falsification battery (m031), leverage verification (m040, gate-checking the exact 'unbalanced loop' misidentification), and decisive-experiment pairing (m066: display A/B discriminates H1/H2/H3 in one 2-week read), with the m003 inversion gate pricing the management-favored branch before DO. Residual gap: H2 magnitude is unknown until the A/B completes; no faster read exists."
m011-POS-01,Systems Thinking,POS,4.6,4.9,ai,"vs baseline: the human baseline owned the full behavior-mode map (threshold proximity, delay/overshoot, rule-vs-flow leverage) while the non-routed v5 AI, despite correct equilibria, dismissed the collapse threshold (proposal sits at 80% of E_crit 25,000), skipped the 2-season transition, and recommended gear efficiency — flow-tuning that raises q and pulls the cliff to 12,500 boat-years. The routed run closed all three gaps as m011 contract outputs (threshold distance, delay behavior mode, leverage hierarchy), matched the human's MSY cap (12,500 / 1,250 t/yr), and added m024's long-horizon regret asymmetry plus the self-camouflaging-delay and 80%-of-optimum-headroom insights; residual shared gap: overshoot depth is not computable from tau alone."
m012-NEG-01,Causal Reasoning (Pearl-style),NEG,3.3,4.9,ai,"vs baseline: the v5 non-routed run already found the task-class split (prediction vs intervention), but the routed dual-route (red team + evidence-weighted SWOT, confident=no) made it contract-driven: the m006 provenance gate separated the measured conditionals (trusted, exactly the ranking quantity) from the unmeasurable U (causal claim unprovable - back-door blocked, no front-door path, no instrument), the red-team pass enumerated and priced the failure branches (quoting +0.12 as causal, refusing until an RCT = Friday forfeiture at 0 purchases, low-E allocation = 600 purchases foregone), and P3 priced the refusal branch at 0. The router's top-3 itself sits away from the causal trap (trap-avoidance held), and the synthesis preserved the causal honesty the pure style owns: non-identifiability stated, RCT named as the route for the causal question."
m012-POS-01,Causal Reasoning (Pearl-style),POS,4.8,4.9,ai,"vs baseline: the v5 non-routed run computed every number correctly (0.37/0.32/+0.05; 4.5x inflation) but stated the naive-vs-adjusted inflation only at REVIEW and costed only the mass-rollout branch, so the 4.5x check read as a verification footnote, not the decision. The routed pass made the see-vs-do split a WHAT-stage statement, computed the naive contrast and its inflation as first-class HOW deliverables carried into Evidence, and the m006 gate added three likelihood scenarios (0-0.05 range), the break-even threshold flip (0.10: only the marketing claim crosses it), a claim-provenance audit (marketing is the interested party), and all-branch pricing - including the engaged-only extension (+40 purchases, net -$1,000) that both the v5 run and the human baseline suggested as a fallback but that is also unprofitable at +5 pts."
m013-NEG-01,Root Cause Analysis (5 Whys + deeper),NEG,3.4,4.9,ai,"vs baseline: the human baseline is the style's trap executed — the chain is verified to the deepest evidence-supported cause (vendor release process) and made the primary fix (6–8 weeks) while labeling the 30-minute boundary fix (validation + dead-letter + alert) that fully contains the silent loss 'interim'. The v6 route did not route to pure RCA: the KB's negative-case lesson routes deadline data-loss signatures to m044 (stakeholder lens) with the mandatory m019 adversary gate and tempo mode — finance's stale dashboard is the realized harm, so the boundary fix is primary by construction, the 6-day backlog is replayed, and the vendor tail becomes one scoped ticket."
m013-POS-01,Root Cause Analysis (5 Whys + deeper),POS,4.7,4.9,ai,"vs baseline (v5 loss recovered): the v5 AI stopped one link short — it treated 'migration 0041 never applied' as the root, never inspected file timestamps / runner dedup (E5), and could not predict recurrence on fresh builds (3.6 vs 4.7). The v6 dual-route (m013 causal drill + m091 practiced-routine re-drill, divergence-resolved) made the mechanism-level why (same-second timestamp collision + runner per-second silent dedup), the recurrence test on fresh builds (E6), and the uniqueness+fail-loud+CI-sync root fix completion-contract outputs; the m003 inversion gate added the never/always reframing (never treat a migration absence as a one-off). The AI now matches the human's gold-standard chain (5/5 rubric); the remaining delta is structure and efficiency, not content."
m014-NEG-01,Constraint Theory / Bottleneck Thinking,NEG,2.5,5.0,ai,"vs baseline: held the win (human 2.5 / v6-AI 5.0). The pure-style human baseline failed both registered failure modes of the module: it presupposed the org-chart serial flow as fixed structure (dismissing the idle 250/day engine as a 'side channel') and treated the constraint as static over the investment horizon (hiring 5 adjudicators that land after the mix shift dissolves the constraint, month-6 high-touch ≈ 353 < 400 — $1.2M/yr for zero throughput gain). The routed run (m018 steelman + m019 red team, m044 synthesis, m003 gate) formalized the structure-first check the non-routed v5 AI reached ad hoc, and added two moves the v5 AI only partially owned: pricing the strongest version of the hire plan before rejecting it, and the ownership vacuum as the real organizational constraint (unconsulted stakeholder, m019 contract)."
m014-POS-01,Constraint Theory / Bottleneck Thinking,POS,5.0,4.9,human,"vs baseline: gap closed 0.5 → 0.1 (human 5.0 / v6-AI 4.9; J1 contested, verdict roughly equal/complementary). The non-routed v5 AI matched every number but reached its two best insights — the WIP-buffer signature as the empirical constraint locator and the constraint-movement step — via the verify machinery rather than the initial frame, and paid full option enumeration. The routed run made all three first-class m014 contract outputs (binding-constraint via min-math + WIP signature; exploit-before-elevate; smallest-change-to-lift with min-element pre-filter; constraint-moves monitoring with the post-A S2/S3 tie and next-lift rule), plus tempo mode priced the 12-week deadline and the m003 gate enumerated six ranked failure categories; residual gap is efficiency only — the human's single find→exploit→subordinate→elevate→repeat loop still outruns two passes plus gates."
m015-NEG-01,Emergence & Complexity Awareness,NEG,2.9,4.9,ai,"vs baseline: the pure style rationalized inaction — 25 min of honest probing bought zero new information and cost ~$300K (42 vs 17 min down); the routed run held the v5 AI's win because the m015 pass gate-checked its own registered weakness at contract time: the evidence-driven classification (deterministic 100%, single path, fresh change = simple) and the priced probe plan make rollback-as-cheapest-probe the style's own conclusion."
m015-POS-01,Emergence & Complexity Awareness,POS,4.7,4.9,ai,"vs baseline: no correctness gap — the routed pass converged on the scheduled-invalidation cache stampede in 5 probes with the same fix, matching the elite baseline's home turf; the v5 AI gap (plan-first, DB contention ranked #1, decisive experiment buried at step 5, 2.9) is closed because the emergent classification and the probe-sense-respond narrowing chain now run in-frame at WHY/HOW instead of being absent; remaining delta is structure/efficiency only."
m016-NEG-01,Socratic Method / Question-Driven Inquiry,NEG,2.3,4.8,ai,"vs baseline: the pure Socratic baseline never committed (2.3/5) — it interrogated 'cause' (correlation is not causation), 'outage' (threshold undefined), 'recovery' (undefined), and the urgency itself, burning 10+ minutes at $8K/min while the dominant answer (roll back: leading hypothesis, reversible, $32K worst case) was available at T+2. The non-routed v5 AI already committed at T+2 (4.7/5); the routed run keeps that and adds the m021 OODA tempo contract (observe/orient/decide/act with the outage as an opponent bleeding $8K/min; commit at DO under P2), the m084 coordination reading (the on-call debate is consensus-seeking/diffusion of responsibility; the commander's authority ends it; rollback is the coordination default), and the m007 ruin screen (full distribution 0.7/0.3; in-window decision is one-shot in time → no waiting premium; 0.7 disclosed as judgment with provenance, not measurement). The deferred inquiry — m094 critical reading of the timeline (definitions, thresholds, causation) — is explicitly scheduled for the postmortem. Residual: the 30% wrong-rollback probability is a judgment, not a measurement; no faster in-window test exists."
m016-POS-01,Socratic Method / Question-Driven Inquiry,POS,4.7,4.9,ai,"vs baseline: the human baseline owned the premise interrogation on its home turf (definition of 'unprofitable' → elenchus counterexample X/Y → reformulated question → flipped decision; 4.7/5), while the non-routed v5 AI accepted the proxy as authoritative and cut X (2.6/5, destroying $1,350/mo of the exact contribution the CEO objective demands). The routed run installed the m016 premise-interrogation pass as a first-class contract (question tree before answers: definitions, unexamined premises, implications; elenchus; reformulation) anchored by m001 fundamentals + measured-data calibration, synthesized with m018 steel-manning (which priced a demand-fragility/obsolescence residual the human baseline never addressed → demand-trend check), and bounded by the m003 inversion gate (6 ranked failure categories, residual, never/always) and m007 ruin screen (reversibility: no one-shot premium; p=1 arithmetic on measured inputs). Every rubric point is reproduced and extended. Residual shared gap: demand-trend risk is unmeasured — the trend check is planned, not executed."
m017-NEG-01,Dialectical Reasoning (Thesis → Antithesis → Synthesis),NEG,2.6,4.9,ai,"vs baseline: the pure dialectical baseline (2.6) forced a synthesis — 'merge B's funnel into A's, share one back office, $600k each' — that papered over a non-convex threshold set: below $1.0M the enterprise sales org cannot exist and below $0.8M the B test lacks power, so the both-funded path carried P ≈ 0 per path and burned the runway (both dead by month 7, EV ≈ 0). The non-routed v5 AI already won (4.9): thresholds were hard constraints from WHAT onward, the split was falsified in two lines (0.6 < 1.0, 0.6 < 0.8), and it committed to A + probe. The v6 run holds the protective split structurally: the router's NEG discipline kept synthesis-biased styles out of the top-3 (route m018+m019+m070), so no forced-synthesis pass was even attempted; m018 steel-manning gave B its strongest case (TAM, board preference, faster resolution) without merging — closing the v5 depth gap (AI depth 4 → 5, matching the human's honest tension-naming); m019 enumerated five integration illusions as exploit vectors with quantified exposure (split EV ≈ 0; merged funnel: thresholds survive; lean-both: hard limits; partial-B-as-insurance: breaks A; study-delay: P 0.65 → 0.30, EV $4.2M → $1.4M); m070 evidence-weighted SWOT confirmed; P3 priced every failure branch before DO; P1 flagged 'both matter' as interested-party pressure."
m017-POS-01,Dialectical Reasoning (Thesis → Antithesis → Synthesis),POS,4.9,4.9,ai,"vs baseline: the human baseline (4.9) derived the synthesis from an explicit conflict-axis analysis — the camps disagreed about WHERE fixed infrastructure is acceptable (rigid high-energy ramp vs flexible grid-less work), not about diesel-vs-electric — and that axis produced the boundary condition (grid capacity < 60% of ramp demand or horizon < 6 yr → collapse to diesel) as a design condition. The non-routed v5 AI (4.4) opened binary (diesel vs BEV), found the partition by enumeration, accepted the 60% share as given, and back-filled the boundary in REVIEW as residual risk. The v6 run routes m001+m017 (dual-route, AMBIGUOUS) with m004 synthesis context and m003/m007 gates: the adversarial-pair contract (strongest thesis, strongest antithesis, conflict axis, partition-along-axis synthesis preserving both core interests, falsifiable collapse boundary) is a first-class HOW output, the axis is derived at WHAT by the S1 structure-first scan, and the boundary is a packet design condition. Content parity (15/5, $17.25M, ≈ 5.2 yr, −11,600 t) with the method installed; AI adds substation-verification phasing and ruin-screen discipline (reversibility: no one-shot premium). Residual: 60% substation capability is given, not measured on-site; pantograph/battery opex unmodeled."
m018-NEG-01,Steel-manning,NEG,3.0,4.8,ai,"vs baseline: the pure-style human baseline rebuilt 'don't roll back' into its strongest defensible form, added a verification pass, promoted the evidence-free LB hypothesis to an open co-equal risk in the final recommendation, and paid ~$150K + refund liability for the courtesy (rollback at 14:19 vs penalty trip at 14:13; 3.0/5). The routed run excluded the trap style at META (m018 out of top-3 — router NEG trap-avoidance), ran m021 OODA as the first-class pass with tempo mode (P2 deadline, cost-of-delay explicit, commit at DO), screened each objection under burden of proof via the mandatory m006 provenance audit (scenarios 90/5/5, posterior range 85-95%, threshold flip at P<30%) and m007 ruin screen (both branches priced incl. failure), and executed the rollback inside the window — 0 penalty minutes, the objection logged as screening-rejected rather than as an open risk."
m018-POS-01,Steel-manning,POS,4.6,4.9,tie,"vs baseline: the v5 non-routed AI reached the right decision (reject rewrite, ETL-first modernization) by cost-benefit recomputation but never played the losing side's best defender — it inherited the memo's 'band-aid, tried 3x and failed' frame, left the 90%-untested-behavior risk unpriced, and skipped the survivor test (3.7 vs 4.6). The routed dual-run (m018 steelman first-class with the strongest-form + steelman-vs-critique separation contract, m019 adversary, m070 synthesis) plus the m003/m007 gates closed every rubric item: straw-man named and set aside, all four evidence-grounded arguments (re-derivation cost of 340 fixes, ETL as the real goal gap, staffing math, attempt-history reframing) rebuilt and addressed quantitatively, deepest objection answered by sequencing — the decision matches the human baseline and now provably survives the strongest opposing case."
m019-NEG-01,Red Teaming / Devil's Advocate,NEG,3.0,4.9,ai,"vs baseline: the human baseline is the style's trap executed — every hypothetical (key loss, auth-server outage, firmware, SOC 2 addendum) at full severity, inaction treated as risk-free while password-only EHR access with 41 shared accounts, 3 leaked credentials, and an active brute-force attempt last month continues. The routed dual-run (m018 steelman vs m019 adversary, synthesized) prices inaction first (do-nothing-loss line), likelihood-ranks all six objections, and rejects >=3 false alarms with their rejecting evidence (SLA, recovery workflow, rollback test, artifact-vs-functional), reaching a reversible time-boxed approval with monitoring and named abort criteria."
m019-POS-01,Red Teaming / Devil's Advocate,POS,4.8,4.9,ai,"vs baseline: the human attacked every line item (data movement, auth model, publication, external timelines) and ranked LxI; the v5 AI found only the pattern-recognizable flaws (bonus gaming, survey gating, premature publication) and conditionally approved — approving the breach (PII + password-reset tokens to pre-SOC2 staging with a public unauthenticated export endpoint, shared admin login, no DPIA) and the timeline collision (60-90-day customer vendor-risk review vs 2-week go-live). The routed m019 pass contract (exploit-vector enumeration with identity gates and guessable formats, quantified exposure per vector, unconsulted-stakeholder inventory, do-nothing-loss baseline, LxI-ranked objections) plus the m006/m007 gates closed the find set to all 5 planted flaws and flipped the verdict to block-as-written."
m020-NEG-01,Pre-Mortem Analysis,NEG,2.0,4.9,ai,"vs baseline: the strict human pre-mortem manufactured a 15-item unranked catastrophe list (venue fire, wifi, food poisoning, hurricanes) for a plan with an 11-run success streak, runbook, and insurance — mitigations either duplicated existing coverage (changed nothing) or escalated to deferral (paralysis) — and never analyzed the actual decision (ticketing adoption); the one genuine risk (migration integrity) was buried at equal weight among fifteen. The routed dual-run (m011 systems scan vs delta-scoped pre-mortem, synthesized) classified the plan unchanged-vs-delta by base rate, discarded the insured generic causes under the evidence rule, capped the pass at 3 LxI-ranked delta risks, and committed adopt-with-gated-rollout (rehearsal gate + numeric criteria + 48h rollback) on a tempo deadline."
m020-POS-01,Pre-Mortem Analysis,POS,5.0,4.9,ai,"vs baseline: the v5 AI found the buried killer risk (TianTech capacity-first clause + single congested lane + zero buffer) by line-by-line reading in WHY and reached the permanent channel-displacement consequence only at REVIEW, while the human back-cast got both in-frame; the v6 routed run executes the pre-mortem as a first-class pass with a completion contract — failure assumed first, unsupported causes discarded, causes LxI-ranked (capacity conflict = killer, displacement = critical), mitigation per top cause altering the commitment (T+6/T+10 gates) — and the m003/m019 gates add 7 ranked failure categories and a baseline-risk line. The v6 AI additionally quantified what the human left at High/Med ranks: capacity-conflict likelihood 10/35/60% with a threshold flip at the T+6 media lock."
m021-NEG-01,OODA Loop,NEG,2.0,4.9,ai,"vs baseline: the strict human run cascaded three internally-valid shutdown/restart cycles (~$160k + near-cancelled fresh-produce contract) by cycling at the tempo of a noisy alarm system in a non-adversarial, minutes-to-hours environment — the specifying evidence (11 false alarms/30 days, redundant in-range sensor, flat 24h trend, clean lab results) sat unused until cycle four. The v6 routed run refused the trap at META: the tempo-mode classifier output DELIBERATE-BOUNDED (adversary none, dynamics min-to-h, trigger base rate 11/30) despite the deadline flag, and the routed m023 opportunity-cost pass (forgone-value check: ~$3k information vs ~$80k/cycle) + R4 m003 inversion (≥6 ranked categories incl. the cascade) + R3 m019 adversary pass (P(false|alarm) ≈ 0.9 → act-now is the risky move) produced the deliberate ~$3k play with a hard ≤45-min gate."
m021-POS-01,OODA Loop,POS,5.0,4.9,ai,"vs baseline: the human baseline decided at T+5 on partial evidence and won the clock (~22 GB at cut); the v5 non-routed run reached the identical plan but spent a WHY verification pass and decided at ~T+12 (~36 GB). The v6 routed run closed that entire gap: the m021 tempo-cycle pass ran first-class with tempo math (1.5 GB/min vs 45-90 min to encryption), tempo mode P2 committed at DO, and the ≤5-min wall-clock budget at T+0 made the T+5 act-now decision a pass contract rather than an AAR wish. Gates m007 (ruin screen: act-now distribution vs wait-to-ruin) and m019 (adversary pass: quantified exposure per vector incl. 1.5 GB/min bleed) made the human's implicit cost-pricing explicit; the insight pass front-loaded the human's two winning observations (identity not needed to justify credential rotation; convenient scapegoat = hypothesis with a price) into the pass itself."
m022-NEG-01,Decision Trees & Scenario Planning,NEG,5.0,5.0,ai,"vs baseline: the human baseline ran calibration (p_crisis 0.2 -> 0.35), branch-value verifiability (A crisis node -13 -> -48), and the robust rule (maximin + ruin line -> C) all in-frame; the non-routed v5 AI calibrated only the probability, issued a false 'robust to misspecification' claim (A at 18.9 after p-only correction), selected A, and reversed to C only at review. The routed run put both perturbation axes and the ruin screen before selection (m007's probability+value provenance, P1's who-benefits audit catching the analyst's interest in a decisive A, m089's optionality preserving A-as-pilot, m021 tempo bounding the tree to 18 leaves), reaching C in-frame with no reversal. Residual shared gap: A's corrected crisis node (-48 ± 15) and the B/C order remain input-error-sensitive; no data exists to narrow them."
